coin_page,coin_page-href,ric_id,personality,date,mint,ob_legend,ob_type,re_legend,re_type,brickendonbury,bristol,caistor_by_yarmouth,cambridge,darfield,darfield_2,denbighshire,east_england,edston_peebles_shire,falkirk,muswell_hill,shapwick_villa,st_mary_cray,stevenage,region_a,ain,baden_baden,clavier_3,eauze,eining,elliginies_saint_anne,kempten_lindenberg_3,kirchmatting,koln,mainz,nanterre,niederaschau,pfunz,viuz_faverges,welzheim,wiesbach,wiggensbac,region_b,via_tritone,vicenza,region_c,barza,borgondi,ercsi,francesti,ghirisa,gracic,gunzenhausen,kongen,leskovec,linsberg,muntenesti,nicolaevo,plevna,postojna,reka_devnia,rustschuk,singidunum,taga,uskub,region_d,dura_hoards _3_and_4,haydere,kecel,south_east_turkey,syria,region_e
"1986","http://web3.forest.usf.edu/main/other/severan/coins/1986/","SS RIC 127","Septimius Severus","198-200","Rome","L SEPT SEV AVG IMP XI PART MAX","Head, laureate, right.","FORTVNAE AVGG","Fortuna seated left, holding rudder on globe and cornucopiae: wheel below seat.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","http://web3.forest.usf.edu/main/other/severan/coins/129/","C RIC 115","Caracalla","210","Rome","ANTONIVS PIVS AVG","Bust, laureate, right, with drapery on left shoulder.","PONTIF TR P XIII COS III","Mars advancing left, holding branch and trophy.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","http://web3.forest.usf.edu/main/other/severan/coins/389/","C RIC 343","Caracalla","200","Eastern","ANTONINVS AVGVSTVS","Bust, laureate, draped, cuirassed, right.","PONTIFEX TR P III","Caracalla, in military dress, standing left, holding Victory and spear: at his feet, left, captive.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1139","http://web3.forest.usf.edu/main/other/severan/coins/1139/","SA RIC 11","Severus Alexander","222","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped. (Variant: Head right, laureate bust draped and cuirassed.)","P M TR P COS P P","Libertas standing left, holding pileus and cornucopiae","2","0","0","2","0","0","0","6","0","0","0","4","2","1","17","0","0","4","4","0","0","0","2","1","0","1","1","0","0","0","0","2","15","0","0","0","1","2","2","4","0","0","1","1","0","2","0","1","0","0","60","0","3","0","1","78","0","1","0","0","0","1"
"1849","http://web3.forest.usf.edu/main/other/severan/coins/1849/","SS RIC 7","Septimius Severus","193-194","Rome","IMP CAE L SEP SEV PERT AVG","Head, laureate, right.","LEG III ITAL TR P COS","Legionary eagle between two standards.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","7","0","0","0","0","0","0"
"2238","http://web3.forest.usf.edu/main/other/severan/coins/2238/","SS RIC 342A","Septimius Severus","UNDATED","BARBAROUS","SEVEEVS PIVS AVG","Head, laureate, right","Meaningless legend","Emperor riding right, brandishing javelin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","http://web3.forest.usf.edu/main/other/severan/coins/275/","C RIC 240","Caracalla","214","Rome","ANTONINVS PIVS AVG GERM","Head, laureate, right.","P M TR P XVII COS IIII P P","Jupiter, bare to waist, standing left, holding thunderbolt and sceptre: at feet, eagle.","0","0","2","0","0","0","2","4","0","2","0","11","0","0","21","0","0","0","3","0","2","0","3","20","0","0","1","0","5","0","0","1","35","4","1","5","2","1","2","3","0","0","1","0","0","0","0","1","0","0","74","1","0","0","0","85","0","3","0","7","1","11"
"1838","http://web3.forest.usf.edu/main/other/severan/coins/1838/","SS RIC 531","Septimius Severus","UNDATED","Eastern","IMP C L SEPTI SEVERVS P P AVG","Head, laureate, right","VRB[I?] ROMAE","Roma seated left, sacrificing with patera over altar and holding spear","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1159","http://web3.forest.usf.edu/main/other/severan/coins/1159/","SA RIC 30","Severus Alexander","UNDATED","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped.","P M TR P II COS P P","Fortuna standing left, holding rudder on globe and sceptre.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2266","http://web3.forest.usf.edu/main/other/severan/coins/2266/","SS RIC 551","Julia Domna","196-211","Rome","IVLIA AVGVSTA","Bust of Julia Domna, draped, right, hair waved and coiled at back","FELICITAS","Felicitas standing left, holding caduceus in right hand and sceptre","2","8","4","0","1","1","3","5","1","2","5","41","1","0","74","0","1","0","2","0","0","2","5","6","1","2","2","0","6","1","0","1","29","7","1","8","4","3","1","0","0","0","0","0","3","2","0","1","1","1","151","8","4","2","5","186","0","8","1","6","0","15"
